,Name,OI
109,VOLTAS,"('VOLTAS', 2176057000000.0)"
110,TORNTPOWER,"('TORNTPOWER', 2127714975000.0)"
111,PEL,"('PEL', 2073997009906.25)"
112,MGL,"('MGL', 1996539552000.0)"
113,BAJAJ-AUTO,"('BAJAJ-AUTO', 1966181175000.0)"
114,BALKRISIND,"('BALKRISIND', 1835560272000.0)"
115,SRF,"('SRF', 1808483906250.0002)"
116,SRTRANSFIN,"('SRTRANSFIN', 1499561520000.0)"
117,PVR,"('PVR', 1481671002658.0)"
118,RAMCOCEM,"('RAMCOCEM', 1479900723750.0)"
119,BAJAJFINSV,"('BAJAJFINSV', 1446943875000.0)"
120,COLPAL,"('COLPAL', 1413124132000.0)"
121,BATAINDIA,"('BATAINDIA', 1251778547250.0)"
122,TORNTPHARM,"('TORNTPHARM', 1155961125000.0)"
123,UBL,"('UBL', 1017868082000.0)"
124,COFORGE,"('COFORGE', 969823530000.0)"
125,NAUKRI,"('NAUKRI', 912785308593.75)"
126,SIEMENS,"('SIEMENS', 895870206000.0)"
127,MFSL,"('MFSL', 868802551500.0)"
128,BRITANNIA,"('BRITANNIA', 837915456000.0)"
129,CUMMINSIND,"('CUMMINSIND', 782973000000.0)"
130,NESTLEIND,"('NESTLEIND', 276697097812.5)"
131,SHREECEM,"('SHREECEM', 190795141625.0)"
132,BOSCHLTD,"('BOSCHLTD', 99906754500.0)"
133,PAGEIND,"('PAGEIND', 90283394880.0)"
134,MRF,"('MRF', 38129953135.0)"
