,0,1,2,3
123,Voltas Ltd,VOLTAS,500,500
124,Amara Raja Batteries Ltd.,AMARAJABAT,1000,1000
125,Balkrishna Ind. Ltd,BALKRISIND,800,800
126,Bata India Ltd,BATAINDIA,550,550
127,Biocon Limited,BIOCON,2300,2300
128,HDFC Life,HDFCLIFE,1100,1100
129,Manappuram Finance Ltd,MANAPPURAM,6000,6000
130,Nestle India Limited,NESTLEIND,50,50
131,Shriram Transport Fin Co.,SRTRANSFIN,400,400
132,Tata Steel Limited,TATASTEEL,850,850
133,GMR Infrastructure Ltd.,GMRINFRA,45000,45000
134,Info Edge (I) Ltd,NAUKRI,125,125
135,Pidilite Industries Ltd,PIDILITIND,500,500
136,Motherson Sumi Systems,MOTHERSUMI,3500,3500
137,SRF Ltd,SRF,250,250
138,Tvs Motor Company Ltd,TVSMOTOR,1400,1400
